type	gene_name
B/ASC	PAX5
B/ASC	CD19
B/ASC	CD79A
B/ASC	TCF4
B/ASC	XBP1
B/ASC	IRF4
B/ASC	PRDM1
B/ASC	BOLA-DRB1
B/ASC	BOLA-DRA
monocyte	CD14
monocyte	FCGR3A
monocyte	MHC-II
monocyte	CD163
monocyte	SIRPA
monocyte	SELL
monocyte	ITGAL
monocyte	ITGAM
monocyte	ITGB2
monocyte	PECAM1
monocyte	ITGA4
monocyte	CCR2
monocyte	CX3CR1
monocyte	CCR5
monocyte	SLC2A1
monocyte	SLC2A3
myeloid	TYROBP
myeloid	IRF8
myeloid	FTL
myeloid	CD93
myeloid	CLEC12A
myeloid	XBP1
myeloid	TCF4
myeloid	FCER1A
myeloid	FLT3
myeloid	TLR4
myeloid	NLRP3
myeloid	CSF1R
myeloid	CD14
myeloid	SIRPA
myeloid	CD86
neutrophil	ITGAM
neutrophil	ELANE
neutrophil	NCF4
neutrophil	MPO
neutrophil	FCGR1A
neutrophil	CD68
neutrophil	CD11C
Others	AHSP
Others	HBM
T Cell	CD3E
T Cell	CD8B
T Cell	CD4
T Cell	ENSBTAG00000055197
T Cell	CD2
T Cell	CD28
T Cell	CCR7
T Cell	CD5
