Name	Gene Name	Source of interest	Priority 	Notes:
CD62L, L selectin	Sell	Personal flow data, Xie 2022	1	Single gene discussion. Mosty interested if differences blood vs milk subsets
Myloperoxidase	Mpo	Personal flow data, Xie 2022	1	Single gene discussion. Mosty interested if differences blood vs milk subsets
TLR-2	Tlr2	Divari 2018	1	Single gene discussion. Mosty interested if differences blood vs milk subsets
TLR-4	Tlr4	Divari 2018	1	Single gene discussion. Mosty interested if differences blood vs milk subsets
CXCR2	Cxcr2	Rambeaud 2006, Rainard 2008	1	Single gene discussion. Mosty interested if differences blood vs milk subsets
				
TF	IRF7	Ai 2022	1	Associated with severe diease patients in Neuts. Mosty interested if differences blood vs milk subsets
TF	Fos	Ai 2022	2	Associated with neutrophil inflammation. Mosty interested if differences blood vs milk subsets
TF	Jund	Ai 2022	2	Associated with neutrophil inflammation. Mosty interested if differences blood vs milk subsets
TF	Nfe2	Ai 2022	2	Associated with neutrophil inflammation. Mosty interested if differences blood vs milk subsets
TF	Pole3	Ai 2022	2	Associated with neutrophil inflammation. Mosty interested if differences blood vs milk subsets
TF	Pole4	Ai 2022	2	Associated with neutrophil inflammation. Mosty interested if differences blood vs milk subsets
TF	Nfe2l2	Ai 2022	2	Associated with neutrophil inflammation. Mosty interested if differences blood vs milk subsets
TF	Bcl3	Ai 2022	2	Associated with neutrophil inflammation. Mosty interested if differences blood vs milk subsets
				
hexosaminidase	Hexa	 Xie 2022, Cowland 2016	3	Azurophil granules. Mosty interested if differences blood vs milk subsets
serine protease	Prss57	 Xie 2022, Cowland 2016	3	Azurophil granules. Mosty interested if differences blood vs milk subsets
proteinase 3	Prtn3	 Xie 2022, Cowland 2016	3	Azurophil granules. Mosty interested if differences blood vs milk subsets
cathepsin G 	Ctsg	 Xie 2022, Cowland 2016	3	Azurophil granules. Mosty interested if differences blood vs milk subsets
Elastase	Elane	 Xie 2022, Cowland 2016	3	Azurophil granules. Mosty interested if differences blood vs milk subsets
Myloperoxidase	Mpo	 Xie 2022, Cowland 2016	3	above
cathepsin C	Ctsc	 Xie 2022, Cowland 2016	3	Azurophil granules. Mosty interested if differences blood vs milk subsets
lysozyme 2	Lyz2	 Xie 2022, Cowland 2016	3	Specific granules. Mosty interested if differences blood vs milk subsets
ipocalin 2	Lcn2	 Xie 2022, Cowland 2016	3	Specific granules. Mosty interested if differences blood vs milk subsets
cytochrome b-245 alpha chain	Cyba	 Xie 2022, Cowland 2016	3	Specific granules. Mosty interested if differences blood vs milk subsets
cytochrome b-245 beta chain	Cybb	 Xie 2022, Cowland 2016	3	Specific granules. Mosty interested if differences blood vs milk subsets
neutrophil cytosolic factor 1	Ncf1	 Xie 2022, Cowland 2016	3	Specific granules. Mosty interested if differences blood vs milk subsets
neutrophil cytosolic factor 4	Ncf4	 Xie 2022, Cowland 2016	3	Specific granules. Mosty interested if differences blood vs milk subsets
Lactoferrin	Ltf	 Xie 2022, Cowland 2016	1	Specific granules. Mosty interested if differences blood vs milk subsets
cathelicidin antimicrobial peptide	Camp	 Xie 2022, Cowland 2016	3	Specific granules. Mosty interested if differences blood vs milk subsets
CEA cell adhesion molecule 1	Ceacam1	 Xie 2022, Cowland 2016	3	Gelantinase granules. Mosty interested if differences blood vs milk subsets
matrix metallopeptidase 8	Mmp8	 Xie 2022, Cowland 2016	3	Gelantinase granules. Mosty interested if differences blood vs milk subsets
matrix metallopeptidase 9	Mmp9	 Xie 2022, Cowland 2016	1	Gelantinase granules. Mosty interested if differences blood vs milk subsets
CD11b, integrin subunit alpha M	Itgam	 Xie 2022, Cowland 2016	1	Gelantinase granules. Mosty interested if differences blood vs milk subsets
solute carrier family 11	Slc11a1	 Xie 2022, Cowland 2016	3	Gelantinase granules. Mosty interested if differences blood vs milk subsets
				
CD62L, L selectin	Sell	Xie 2022	3	above
CD11b, integrin subunit alpha M	Itgam	Xie 2022	3	above
CD49d	Itga4	Xie 2022	3	Neutrophil aging. Mosty interested if differences blood vs milk subsets.
CXC motif chemokine receptor 4	Cxcr4	Xie 2022	3	Neutrophil aging. Mosty interested if differences blood vs milk subsets.
CXC motif chemokine receptor 2	Cxcr2	Xie 2022	3	above
CD47	Cd47	Xie 2022	3	Neutrophil aging. Mosty interested if differences blood vs milk subsets.
CD24	Cd24a	Xie 2022	3	Neutrophil aging. Mosty interested if differences blood vs milk subsets.
Toll Like Receptor 4	Tlr4	Xie 2022	3	above
intercellular adhesion molecule 1	Icam1	Xie 2022	3	Neutrophil aging. Mosty interested if differences blood vs milk subsets.
CD11c	Itgax	Xie 2022	3	Neutrophil aging. Mosty interested if differences blood vs milk subsets.
				
ABR activator of RhoGEF and GTPase	Abr	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
platelet-activating factor receptor	Ptafr	Xie 2022	3	Neutrophil activation. Mosty interested if differences blood vs milk subsets.
